,OrderNumber,UseType,FacilityID,FacilityLongitude,FacilityLatitude,CustomerZIP,TotalPaid,StartDate,EndDate,NumberOfPeople,Tent,Popup,Trailer,RVMotorhome,Boat,Car,FifthWheel,Van,CanoeKayak,BoatTrailer,PowerBoat,PickupCamper,LargeTentOver9x12,SmallTent,CustomerLatitude,CustomerLongitude,LengthOfStay
369,1-5447296,Overnight,234038,-103.304,29.275,78028,49.0,2007-03-10,2007-03-14,5,,,,,,1.0,,,,,,,,,30.1,-99.2,4
370,1-5448164,Overnight,234043,-92.5569,36.0731,71766,109.0,2007-05-23,2007-05-28,4,,,,,,1.0,,,,,,,,,33.74,-92.51,5
371,1-5448255,Day,234074,-122.51,44.7575,97361,60.0,2007-08-30,2007-08-30,150,,,,,,1.0,,,,,,,,,44.8,-123.4,0
372,1-5448277,Day,234074,-122.51,44.7575,97361,110.0,2007-09-01,2007-09-01,150,,,,,,1.0,,,,,,,,,44.8,-123.4,0
373,1-5448304,Day,234074,-122.51,44.7575,97361,60.0,2007-08-31,2007-08-31,150,,,,,,1.0,,,,,,,,,44.8,-123.4,0
374,1-5448334,Overnight,234074,-122.51,44.7575,97361,80.0,2007-08-31,2007-09-02,6,,,,,,1.0,,,,,,,,,44.8,-123.4,2
375,1-5448618,Overnight,234079,-112.167,37.6344,92592,19.0,2007-06-16,2007-06-22,20,,,,,,1.0,,,,,,,,,33.5,-117.0,6
376,1-5449353,Overnight,234066,-118.115,48.5924,99218,309.0,2007-08-02,2007-08-06,50,,,,,,1.0,,,,,,,,,47.76,-117.44,4
377,1-5449359,Overnight,234066,-118.115,48.5924,99218,309.0,2007-08-02,2007-08-06,50,,,,,,1.0,,,,,,,,,47.76,-117.44,4
378,1-5451200,Overnight,234058,-112.167,37.6344,84020,19.0,2007-05-24,2007-05-30,2,,,,,,1.0,,,,,,,,,40.49,-111.85,6
379,1-5452073,Overnight,234044,-90.9831,36.9625,38222,94.0,2007-05-24,2007-05-29,2,,,,,,1.0,,,,,,,,,36.4,-88.2,5
380,1-5453889,Overnight,234063,-118.69,47.9268,83837,24.0,2007-05-25,2007-05-28,2,,,,,,1.0,,,,,,,,,47.5,-116.1,3
381,1-5454129,Overnight,234037,-81.7311,36.1389,28270,41.0,2007-05-18,2007-05-20,2,,,,,,1.0,,,,,,,,,35.11,-80.76,2
382,1-5454975,Overnight,234063,-118.69,47.9268,99185,49.0,2007-05-24,2007-05-28,5,1.0,,,1.0,,,,,,,,,,,47.7,-118.7,4
383,1-5455076,Overnight,234059,-109.589,38.7769,48301,369.0,2007-07-02,2007-07-06,30,1.0,,,,,,,,,,,,,,42.54,-83.28,4
384,1-5455093,Overnight,234059,-109.589,38.7769,48301,19.0,2007-07-06,2007-07-10,30,1.0,,,,,,,,,,,,,,42.54,-83.28,4
385,1-5455113,Overnight,234059,-109.589,38.7769,48301,369.0,2007-07-09,2007-07-13,30,1.0,,,,,,,,,,,,,,42.54,-83.28,4
386,1-5455124,Overnight,234059,-109.589,38.7769,48301,369.0,2007-07-13,2007-07-17,30,1.0,,,,,,,,,,,,,,42.54,-83.28,4
387,1-5456284,Overnight,234043,-92.5569,36.0731,72903,89.0,2007-05-24,2007-05-28,6,,,,,,1.0,,,,,,,,,35.35,-94.35,4
388,1-5456294,Overnight,234043,-92.5569,36.0731,72903,89.0,2007-05-24,2007-05-28,6,,,,,,1.0,,,,,,,,,35.35,-94.35,4
